organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Trinity Health,Registered Nurse Med Surg Ortho Trauma,40979|TH-HHC-30098,onsite,['*Registered Nurse-Med Surg-Ortho Trauma'],['*Registered Nurse-Med Surg-Ortho Trauma'],,1 Available Positions,3-7 years Experience Required,13 weeks Term,"Work Auth: Green Card, US Citizen",,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.39 /hr","Reward Rate:
USD
$
6.39 /hr"
Prime Healthcare,Cardiac Cath Lab Technician,10844 |PH-HHC-6876,onsite,"['Under the general direction of the physician (Cardiologist/Radiologist), will assist by scrubbing procedures or monitoring physiologic and hemodynamic data, as related to diagnostic and/or therapeutic procedures performed in the cardiovascular lab. Ensures procedure room is adequately prepared for the procedure. Monitors par level of all instruments and supplies. Participates in departmental staff meetings and performance improvement activities and the training of new staff. Assists in all aspects of invasive and noninvasive cardiac procedures.', 'Department: Cath Lab Tech', 'Shift timings: 07:00-19:00']","['Using computerized tomography equipment to capture diagnostic images of patients’ internal organs and tissues.', 'Appropriately positioning patients to scan specific areas of their bodies.', 'Performing regular warm-up sequences on the CT scanner to prolong the life of the X-ray tubes.', 'Sterilizing radiologic equipment to ensure the safety of patients.', ""Correctly interpreting doctors' written scanning instructions."", 'Administering radiocontrast agents to patients to enhance the visibility of internal organs and tissues.', 'Evaluating CT scans to determine whether they are of good technical quality.', 'Explaining scanning procedures to patients and providing reassurance and support as required.']","['RN Cath Lab Technician', 'Traveler Cath Lab Technician']",2 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiac Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.96 /hr","Reward Rate:
USD
$
6.96 /hr"
Prime Healthcare,RN- ICU Night,10975|PH-HHC-67844,onsite,"['Department: CENTINELA HOSPITAL MEDICAL CENTER (CHMC)(ICU)', 'Shift Timings: Night Shift 19:00-07:30 Hours (Pre diem)']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['ICU RN', 'RN CRCU/ICU', 'Traveler ICU RN']",5 Available Positions,1-3 years Experience Required,12 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.55 /hr","Reward Rate:
USD
$
6.55 /hr"
Trinity Health,*Registered Nurse-Med Surg-Medical,44337|TH-HHC-52923,onsite,['Registered Nurse RN Medical Surgical'],"['You Will Be Responsible For:', 'Exceptional Patient Care:Utilizes the nursing process and collaborates with the other health care disciplines to deliver holistic patient care to patients of all ages.', 'Excellent Analyst:Collects comprehensive data pertinent to the patient’s health or the situation. Analyzes the assessment data to determine the diagnoses or issues. Identifies expected outcomes for a plan individualized to the patient or the situation.', 'Continued Professional Growth:Attains knowledge and competency that reflects current nursing practice. Evaluates one’s own nursing practice in relation to professional practice standards and guidelines, relevant statutes, rules, and regulations. Interacts with and contributes to the professional development of students, peers and colleagues.', 'Demonstrates Clinical Competency:Adheres to established standards of practice and regulations while performing treatments and procedures.']",,1 Available Positions,3-7 years Experience Required,13 weeks Term,"Work Auth: Green Card, US Citizen",,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.39 /hr","Reward Rate:
USD
$
6.39 /hr"
Ascension Health,RN Cath Lab,ASC-10153|AH-HHC-67471,onsite,"['Department: Cardiac Cath Labs Anc', 'Shift Timing: Morning Shift  07:00 - 17:00 Hours ']","['Assess, prepare and position patients for procedures.', 'Perform conscious sedation and hemodynamic monitoring as necessary.', 'Prepare, implement and document plan of care.', ""Communicate patient's condition to physician before, during and after procedures."", 'Perform and/or facilitate diagnostic, therapeutic and interventional procedures.', 'Perform set up and provide equipment and supplies before, during and after procedures.']","['Cath Lab', 'Registered Nurse Cath Lab', 'Traveler Registered Nurse Cath Lab']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Prime Healthcare,Computed Tomography (CT) Tech,10843 |PH-HHC-54883,onsite,"['The CT Technologist works collaboratively within a multi-disciplinary team and is responsible for providing quality images. The CT Technologist works in support of the Radiologist, providing assistance in the performance of diagnostic and therapeutic procedures. Responsible for processing and transmission of images to PACS.', 'Department: CT Tech', 'Shift timings: 0700-1930']","['Using computerized tomography equipment to capture diagnostic images of patients’ internal organs and tissues.', 'Appropriately positioning patients to scan specific areas of their bodies.', 'Performing regular warm-up sequences on the CT scanner to prolong the life of the X-ray tubes.', 'Sterilizing radiologic equipment to ensure the safety of patients.', ""Correctly interpreting doctors' written scanning instructions."", 'Administering radiocontrast agents to patients to enhance the visibility of internal organs and tissues.', 'Evaluating CT scans to determine whether they are of good technical quality.', 'Explaining scanning procedures to patients and providing reassurance and support as required.']","['CT Technologist RN', 'CT Technologist Traveler', 'CT technologist']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.55 /hr","Reward Rate:
USD
$
6.55 /hr"
Ascension Health,Echocardiography Technologist,ASC-8766|AH-HHC-7483,onsite,"['Department: Diagnostic Cardiology Anc', 'Shift Timings: Morning shift 09:00 - 15:30 hours ']","['Set up and adjust all imaging equipment and manually maneuver transducers to perform exams.', 'Implement safety standards and perform appropriate quality control procedures.', 'Perform routine and complex studies and assist in a variety of imaging procedures.', 'Recognize significant structures, artifacts, pathology and equipment limitations.', 'Position patients and select anatomic and technical parameters accurately.', 'Ensure all activities comply with regulatory agency standards.', 'Ensure prompt submission of high-quality of all images and documents sent to PACS (image quality, correct lead markers and patient data/history).', 'Assist in maintaining a clean, safe, and orderly department to include procedure rooms, storage areas, dressing rooms, film storage area and any other areas in department.']","['Echocardiography Technologist', 'Travel Echocardiography Technologist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.94 /hr","Reward Rate:
USD
$
7.94 /hr"
Ascension Health,RN Step Down,ASC-7174|AH-HHC-5509,onsite,"['Department: Stepdown Intermediate Care', 'Shift Timings: Night shift 18:45 - 07:15 Hours ']","['Provides direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Responsibilities:', 'Implements and monitors patient care plans. Monitors, records and communicates patient condition as appropriate.', 'Serves as a primary coordinator of all disciplines for well-coordinated patient care.', 'Notes and carries out physician and nursing orders.', ""Assesses and coordinates patient's discharge planning needs with members of the healthcare team."", 'Complexity of Work:', 'Within scope of job, requires critical thinking skills, decisive judgment and the ability to work with minimal supervision.', 'Must be able to work in a stressful environment.', 'Personal Protective Equipment:', 'Follows Standard Precautions using personal protective equipment as required.']","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Prime Healthcare,Registered Nurse (Days + call),10996 |PH-HHC-62194,onsite,"['Department:  Surgery', 'Shift timings: Early Morning 06: 30-15:00 Hours.']","['Prefer RN with circulating experience. If they can scrub, that would be a bonus!', 'Experience: *Ortho (Total knees, hips, shoulders & ankles), Spine (Laminectomies & 360’s), General surgeries & Bariatric experience preferred – minimum 2 years.', 'On-Call requirement: Yes - per unit needs', 'Covid patients: Yes', 'EMR Charting system: Epic', 'Scrubs: Any color - Hospital also provides them for surgical procedures.']","['Registered nurse', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Licensed Registered Nurse credentialed from the Texas Board of Nursing required, Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.39","Reward Rate:
USD
$
6.39"
Ascension Health,RN Medical / Surgical,ASC-5726|AH-HHC-40280,onsite,"['Department: Med Surg 6E ', 'Shift timing: Night shift 18:45 - 07:15 hours ']","['Core Staffing Plan: Variable staffing grid to include: Registered Nurses (RNs), Licensed Practical Nurses (LPNs), Patient Care Technicians (PCTs), Nurse Interns (NIs).', 'An RN assumes full responsibility for the patients on each team. Staffing Certification: Basic Life Support (BLS) Certification Successful completion of a rhythm test']","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), National Institute of Health (NIH), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
