organization,est_earnings,job_position,jobpost_id,level,reports_to,vacant_since,vacancies,travel_required,visa_support,report_to_location,country,city,state,postal_code,currency,minimum_salary,maximum_salary,signing_bonus,bonus_description,relocation_package,job_description,company_culture,benefits,must_have
Fauquier Health,"$14,289",Registered Nurse RN - ED FT Nights,r1awbo4yf69j,Mid-Level,Director of Emergency Services,This position is always open,4,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Warrenton,VA,20186,$ USD,"$65,763.00","$93,000.00",Yes,Up to $20K based on years of experience,None,"This is a Night Shift position. 

The Registered Nurse provides and directs clinically appropriate patient care to an individual or group of patients in accordance with the philosophy and mission of the Department of Nursing, the organization, and the scope and standards set forth by the American Nurses Association (ANA).
  In the execution of job duties, it is the universal expectation that all tasks are performed with a patient centered focus, while also seeking opportunities to continually improve core processes. Incumbent will be scheduled based on operational need, which may include but is not limited to: holidays, extended shifts, night and/or weekend shifts, standby and/or on-call. This job description is only meant to be a representative summary of the major responsibilities and accountabilities performed by the incumbents of this job. Employees may be directed to perform job-related tasks other than those specifically presented in this description.
  Reports to: Clinical Coordinator/Patient Care Coordinator/Patient Care Director

Essential Functions 
Performs plan of care intervention, including medication administration, specimen collection, clinical treatments, as well as other medical care treatment.
  Documents patient care given.

Monitors, records, and communicates patient condition as appropriate to care team, physician, patient, and family.
  Assists patients with performing activities of daily living, including personal hygiene, elimination, nutrition, and ambulation.
  Collaborates as needed across disciplines to coordinate patient care, including patient transfer, discharge, referral and spiritual/psychosocial support needs.
  Evaluates learning needs of patient and/or family and provides patient/family education appropriate to age, culture, condition, and circumstances.
  Works as an advocate for the physical and emotional well-being of the patient.
  Patient/family care needs and/or problems are promptly identified and addressed. Patients are regularly assessed and reassessed. Patient responses to nursing and MD interventions and treatments are evaluated and documented in the ongoing assessment data.
  Functions successfully in all emergency situations. Adapts to change and handles emergencies consistent with policy and in a manner that instills confidence in others through a smooth operation.
  Establishes individualized nursing diagnoses based on assessment data and formulates care plan. Collaborates with patient and family members to address care needs and provide patient centered care. Adjusts plan of care appropriately. Knowledgeable and incorporates best practices.","History & Tradition
Fauquier Hospital initially opened its doors as a 20 bed hospital on February 26, 1925. Purchased for $14,000, Fauquier Hospital was occupied in the ""Garner House"" as it was known, and was located at 32 Waterloo St., Warrenton, VA. It wasn't until April of 1956 when hospital hill was chosen as the new location for the hospital.
To read about the complete history, click here to download a copy of the Monument on the Hill.
Who we are Today
In November of 2013, Fauquier Health partnered with LifePoint Health.
Fauquier Health is now a 97-bed acute care hospital offering surgical services (including robotics), a 24-hour Emergency Department, extensive medical imaging capabilities, an Intensive Care Unit and much, much more. The Fauquier Health system offers patient care for a variety of specialty services including Orthopedics and Spine, a Cardiac Catheterization Lab, and robotic-assisted surgery. The fourth floor of the hospital is devoted to our Family Birthing Center and Intermediate Care Nursery.
Fauquier Health also encompasses the Fauquier Health Rehabilitation and Nursing Center, The Villa at Suffield Meadows assisted living facility, the Wellness Center and the Wound Healing Center, and the Sleep Center.
Fauquier Health is one of the largest employers in Fauquier County and consists of nearly 1,000 staff and 220 physicians.
Mission
Making Communities Healthier®
Vision
We want to create places where:
People choose to come for healthcare
Physicians want to practice
Employees want to work",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
RN License in Virginia (or compact license)
2
BLS, ACLS, and PALS
3
At least 2 years previous experience in critical care area
4
Night shift availability "
SageWest Health Care,"$11,009",Respiratory Therapist  Certified/Registered,aw2qx4czhdy3,Mid-Level,System Director,More than 30 days,4,Up to 20% of the time,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Lander,WY,82520,$ USD,"$50,086.00","$72,240.00",Yes,"  It is based on YOE and ranges from $7,500-15,000 1/2 paid at 90 days and the remaining at a year.  Relocation is $2,500 and Housing is $9,600 paid within the first month.  Retention is also YOE from $3,000-$13,000 paid in 24/48/72 months ",Full,"At SageWest Healthcare, we recognize that our patients deserve qualified, engaged, and competent nurses. And we know that our nurses deserve a working environment that is safe, leaders who are visible and supportive, and opportunities to grow and develop. We have a positive, hopeful, and resilient leadership team that is solely focused on taking care of the heart of SageWest– the people who work here. If you feel that your skills and compassion fit with our vision for person-centered care and evidence-based practice, and you would like to belong to a hospital family that only the best are invited to join, we invite you to apply today.  https://www.sagewesthealthcare.com/careers

Under general supervision, provide respiratory care and life support to patients with cardiopulmonary system deficiencies and abnormalities.","https://vimeo.com/801302051

The mission of SageWest Health Care is to make our communities healthier. In order to achieve this, we are committed to five core values:

Delivering high-quality patient care
Our highest priority is caring for people - the friends, family, and neighbors whom we serve in our community.

Creating excellent workplaces for our employees
We are committed to providing an environment based on respect and one which encourages personal and profession growth.

Supporting physicians
We support our physicians' practices by providing an innovative facility, advanced technology, and a well-trained, organized clinical staff.

Providing community value
We are a vital resource for our community and because we take pride in our community, we are actively involved in supporting local, civic, and charitable organizations.

Ensuring fiscal responsibility
We are fiscally responsible ensuring that we meet our capital needs and the expectations of our stakeholders.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF OTHER,"1
Registered Respiratory Therapist (RRT) in the State of Wyoming 
2
Registered by the National Board of Respiratory Care preferred 
3
May be either a Certified Technican or a Registered Therapist.
4
Current BLS, and ACLS ceritfication
5
PALS and NRP current or within 90 days of hire "
Central Carolina Hospital,"$18,270",Director of Surgical Services,7tvgsf6pl24c,Senior,CNO,Less than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Sanford,NC,27330,$ USD,"$83,000.00","$120,000.00",Negotiable,None,Registered Nurse in North Carolina or Compact state is required   ,"Central Carolina Hospital, along with Duke LifePoint are seeking a passionate Director to work with our team in Surgical Services. With more than 120 physicians and more than 500 employees, the hospital offers a wide range of specialties. Central Carolina Hospital is nestled in the heart of central North Carolina and is located only 40 minutes southwest of Raleigh, the state capital, and just 40 minutes from the gates of Fort Bragg Military base. Our facility will allow you to use, sharpen and add to your nurse management skills without having to commute to a large city environment.

As a Surgical Director, you will organize, direct, and supervise the functions of the Surgical unit. This includes policy and procedures are followed; safe staffing levels are maintained; supplies and equipment are at sufficient levels; and efficient patient throughput is managed. Our Surgical Director will also develop, implement, and manage the department budget, engage in ongoing quality and performance improvement, invests in lifelong learning for staff professional development and assures employees complete required annual competencies. This position will communicate important information to the CNO and other Administrative Team members as needed.","At Central Carolina Hospital, our team is driven by a shared mission of Making Communities Healthier. To accomplish this important mission, we especially look for candidates that work well in a team setting, and are dedicated, resilient, and compassionate.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Registered Nurse in North Carolina or Compact state is required   
2
Minimum of 2 years as charge nurse or supervisor in OR
3
Prior experience working in an acute care setting 
4
AA in Nursing "
Ottumwa Regional Health Center,"$13,306",Nursing Supervisor,suv94dq5ygam,Junior,CNO,This is a newly opened position,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Ottumwa,IA,52501,$ USD,"$62,920.00","$84,926.00",Negotiable,None,Current Iowa Registered Nurse License,"GENERAL SUMMARY OF DUTIES – The Nursing/House Supervisor is responsible for overseeing the management of nursing personnel. This is accomplished through leading, coaching, facilitating, and assisting by providing counsel and direction. The Nursing/House Supervisor is visible, accessible and actively engaged in supporting staff on a daily basis. 
    DUTIES INCLUDE BUT ARE NOT LIMITED TO 
·        Actively participate in QA/PI projects to meet regulatory compliance.
·        Follow ORHC infection control policies and procedures at all times
·        Serve as an example to staff by using hospital policies and procedures.
·        Participating actively in development and accomplishment of hospital regulatory compliance.
·        Follow ORHC and unit specific policies and procedures
·        Facilitate the scheduling process and adjust schedule to meet hospital’s needs
·        Providing fair and consistent leadership to all departments
·        Convey QI, risk and safety concerns to Director of department and quality department
·        Complete variance reports or statements of concern appropriately and in a timely manner
·        Participate in Individualized Patient Care by verifying whiteboards and other patient satisfaction criteria are being used.
·        Notify staff of emergency call in situations 
·        Operate within the designs of established hospital procedures in emergencies including using the hospital’s emergency plan, HICs and NIMS when appropriate
·        Notify Administrator on call of any area you do not feel you can handle from following hospital policies and procedures, or with any unusual events.
·        Communicate clearly and positively with co-workers. Promote TEAMWORK.
·        Ensure patient privacy and confidentiality 
·        Act as a resource to solve problems.
·        Act as an ambassador for the health center by speaking positively in the presence of our patients and members of our community.
·        Represent Ottumwa Regional Health Center by demonstrating compassion, integrity and excellence.
·        Other duties as assigned.
  KNOWLEDGE, SKILLS & ABILITIES  
·        Must have excellent interpersonal skills including the ability to effectively present information and respond to questions from colleagues and the general public both in person and on the telephone.
·        Must have the ability to read, analyze and interpret professional journals, hospital policies, and technical procedures.
·        Must have the ability to rapidly problem solve and deal with a variety of variables and set priorities as well as the ability to analyze data from a variety of sources and choose consistently appropriate interventions to maximize positive patient outcomes.
·        Must demonstrate positive, supportive behavior to members of the healthcare team, patients, and families through effective communication, calm appearance and professional behavior.
  EDUCATION 
·        Graduate from an accredited school of nursing. Associate Degree or Diploma in Nursing with 2-3 years management experience is minimum requirement. Bachelor of Science in Nursing degree preferred. 
  EXPERIENCE 
·        Two to three years previous management experience is preferred with minimum of three years clinical experience in an acute care setting. 
  CERTIFICATE/LICENSE 
·        Current Iowa Registered Nurse License
·        Current BCLS certification
·        Current NRP within 6 months of hire",https://www.ottumwaregionalhealth.com/about,DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Current Iowa Registered Nurse License
2
Current BCLS certification
3
 Two to three years previous management experience is preferred with minimum of three years clinical experience in an acute care setting."
Georgetown Community Hospital,"$11,610",Med/Surg RN Nights,s7j9rvhaqio6,Mid-Level,Director of Med/Surg,More than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Georgetown,KY,40324,$ USD,"$55,000.00","$74,000.00",Yes,10k- paid in two installments over the first year,None,"Performs plan of care intervention, including medication administration, specimen collection, clinical treatments, as well as other medical care treatment.
  Documents patient care given.
  Monitors, records, and communicates patient condition as appropriate to care team, physician, patient, and family.
  Assists patients with performing activities of daily living, including personal hygiene, elimination, nutrition, and ambulation.
  Collaborates as needed across disciplines to coordinate patient care, including patient transfer, discharge, referral and spiritual/psychosocial support needs.
  Evaluates learning needs of patient and/or family and provides patient/family education appropriate to age, culture, condition, and circumstances.
  Works as an advocate for the physical and emotional well-being of the patient.","Georgetown Community Hospital is located in the heart of central Kentucky, serving Scott and Franklin Counties. Licensed as an acute care hospital with 75-beds, we offer a broad range of inpatient, outpatient, intensive care, surgical, emergency and diagnostic services.

Located at the crossroads of I-64 and I-75, Georgetown is conveniently located just 10 miles north of Lexington, Kentucky. From antique homes to beautiful farm land, Georgetown is known as the “fastest growing community” in Kentucky.
From our bariatrics to women’s services to radiology, we have a wide range of services to treat your needs. Our mission is Making Community Healthier® and we strive to provide the best care, close to home.

There are no large waiting rooms with long waiting times. Georgetown Community Hospital is unique in that we take pride in the relationships we build with our patients. Our employees provide one-on-one care for the best quality service and we truly value our patient interactions.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
ADN or BSN
2
work 7p-7a
3
Basic Life Support (BLS) within 30 days of hire
4
Licenses: Registered Nurse, KY"
Memorial Hermann Health System,"$24,300",Clinical Manager- Pediatric Heart Center CMHH TMC (Swing Shift- Nights),a8n9s5udcytl,Mid-Level,Director of Patient Care- Pediatric Heart Center,Less than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Houston,TX,77030,$ USD,"$100,000.00","$170,000.00",No,Partial,1 or more years of Supervisor/Manager experience,"Job Description Summary:
Position responsible for providing leadership to the department – overseeing the daily operations – managing and developing departmental staff, collaborating with the interdisciplinary team in the delivery of patient care, utilizing the nursing process, ensuring the delivery of quality care to patients

Working at our Children's Heart Institute, you will collaborate with pediatric critical care medicine physicians and hospitalists, who are faculty at McGovern Medical School at UTHealth, providing twenty-four hour, in-house coverage to ensure that patients with intensive care needs receive the best care possible. We offer innovative treatment methods and specialized services with ongoing cardiac training for our nursing team. As a Level I Pediatric Trauma Center and one of the busiest trauma centers in the country, Children’s Memorial Hermann Hospital is specialized and equipped to care for even the most severe cases.


Named one of the top 50 best children's hospitals nationally in Cardiology & Heart Surgery by U.S. News & World Report.
Earned three-star rating from The Society of Thoracic Surgeons (STS) for its patient care and outcomes in congenital heart surgery. The three-star rating denotes the highest category of quality.
Four Pediatric Cardiothoracic Surgeons supported by a pediatric VAD and ECMO team
UNOS certification for heart transplants
Magnet Designated Facility
Our Pediatric Heart Center encompasses both IMU and ICU totaling 48 beds with a primary focus in congenital heart defect patients ranging in ages 0-17. We are looking for a motivated & dedicated nurse that wants to join our work family and take lead managing our Night shift team!

HIGHLY PREFERRED Requirements:

Registered Nurse must currently hold a Bachelors in Nursing (BSN)
Basic Life Support (BLS) and Pediatric Advanced Life Support (PALS)
Three or more years of both Pediatric AND Cardiac/CV experience (Pediatric experience is a MUST)
Three or more years Supervisor/Manager experience experience required
While this role will support our Night shift team, this will be more of a varied shift role, 40 hours/week.

Minimum Qualifications:
Education: 

Bachelors of Nursing degree from an accredited school of professional nursing required or documented degree plan and timeframe to complete Bachelors Nursing
For clinical manager positions in Magnet-designated hospitals or hospitals in pursuit of Magnet designation, a minimum of a Bachelors of Nursing is required at the time of hire or promotion

Licenses/Certifications:

Current State of Texas license or temporary/compact license to practice professional nursing
Certified in Basic Life Support
Professional certification in clinical area or management preferred
Additional certifications may be required based on discipline and/or nursing unit requirements

Experience / Knowledge / Skills:

Three (3) or more years experience in clinical area of practice and minimum one (1) year experience in a supervisory or management role
Clinical Manager II: additional two (2) years experience (3 years total) in supervisory or management job
Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.

Principal Accountabilities:

Manages the daily operations of a patient care department, including forecasting and ensuring adequate staffing, taking departmental call; planning for continuity of care, serving in charge nurse role and providing direct patient care as needed.
Collaborates with physicians, management team members, business partners, and customers to address strategic initiatives and organizational goals.
Participates in a systemic, interdisciplinary, and ongoing evaluation of programs, process improvement, desired client-centered outcomes, and organizational outcomes.
Considers the diverse needs of each patient through the entire continuum of care, providing and ensuring the highest level of service according to established service standards, optimizing the patient experience.
Ensures adequate scheduling and staffing; recruits, retains, and develops staff; provides performance feedback, addressing issues as necessary, and provides input into staff performance reviews in a timely effective manner.
Adheres to all regulatory and Texas Board of Nursing standards.
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff.
Other duties as assigned.","What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.

Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.

The Houston Chronicle named us a Top Workplace for the 10th consecutive year. They partnered with Energage to gather survey responses from employees, and ranked companies based on criteria ranging from company values and culture, to leadership and benefits.

We rated highly based on our values and the meaningful work we do. We’re honored to receive this recognition and inspired to do more for our people.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
1 or more years of Supervisor/Manager experience
2
3 or more year of Pediatric Cardiac (CV) experience. Needs to be in this specific specialty! CV or pediatric experience separately is not preferred.
3
BSN is required
4
Active BLS, must obtain PALS
5
Flexibility with work schedule"
Memorial Hermann Health System,"$17,297",Radiation Therapist,4k7xa2ghsuo5,Junior,Director,More than 30 days,4,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Houston (Texas Medical Center),TX,77030,$ USD,"$88,296.00","$103,896.00",Yes,"1,500",Full,"Job Description
Minimum Qualifications
Education: Graduate of an accredited school of Radiation Therapy Technology
Licenses/Certifications: Certified Radiation Therapist by the American Registry of Radiation Therapy Technologists (ARRT-T), or temporary certification for recent graduates, up to 60 days post-graduation and licensed by the Texas Department of Health (CMRT)
Experience / Knowledge / Skills:

Ability to lift and/or maneuver patients in conjunction with others in order to perform job functions.
Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.
Principal Accountabilities

Simulates treatment set-ups according to physician instruction.
Performs dosimetric calculations under the supervision of a physicist or dosimetrist, using either manual or computerized dose calculations.
Accurately delivers the prescribed course of radiation therapy.
Assists in Brach therapy procedures.
Warms up treatment machines/simulator and checks all safety and operational procedures; reports any erratic operation to the physicist.
Checks the laser positioning to ensure proper alignment.
Verifies dose through barometer and thermometer measurements; reports any discrepancies to physicist.
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff.
Other duties as assigned.","What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.
Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.

The Houston Chronicle named us a Top Workplace for the 10th consecutive year. They partnered with Energage to gather survey responses from employees, and ranked companies based on criteria ranging from company values and culture, to leadership and benefits.
We rated highly based on our values and the meaningful work we do. We’re honored to receive this recognition and inspired to do more for our people.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
Licenses/Certifications: Certified Radiation Therapist by the American Registry of Radiation Therapy Technologists (ARRT-T), or temporary certification for recent graduates, up to 60 days post-graduation and licensed by the Texas Department of Health (CMRT)
2
1-2 years experience in Radiation Therapy
3
3-5 years Radiation Therapy experience"
SageWest Health Care,"$16,439",Director of Women Services,r15e79a4uzpy,Senior,Chief Nursing Officer,This is a newly opened position,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,LANDER,WY,82520,$ USD,"$73,063.00","$109,595.00",Negotiable,Full,Current and Valid Wyoming RN License or compact equivalent,"The Women's Health Director understands and acts on the relationship between patient access to care,
department operations, finance, and productivity, and coordinates these components within the department
to deliver quality patient care. Develops and oversees department daily operations. Develops and champions
department performance and behavioral standards and works to continuously improve the quality of services.
Ensures compliance with all regulatory requirements and holds caregivers and staff accountable for meeting
goals by utilizing and applying quality improvement principles. 
Directs department operations, coordinates patient service delivery, educates and develops staff, controls
budget(s) and manages the work environment.
Serves as a resource for interdisciplinary divisions within the hospital.
Provides ongoing assessments of the department as it pertains to staff competency, workflow, and best
practices. This includes reducing length of stay, increasing patient satisfaction, enhancing staff engagement,
and improving productivity metrics.
Perform strategy as directed by CNO.
Creates, establishes and enforces work rules, procedures and policy.
Sets, approves and tracks employee work schedules.
Formulates and puts into practice ideas and strategies in relation to employee training.
Issues formal evaluations and provides input on areas of deficiency and as appropriate applies corrective
action","Our Vision & Mission
Our vision is to serve our communities’ evolving healthcare needs by cultivating a network of compassionate, dedicated professionals. We are committed to working together, using best practices, improving quality, and assuring an exceptional patient experience.

The mission of SageWest Health Care is to make our communities healthier. In order to achieve this, we are committed to five core values:

Delivering high-quality patient care
Our highest priority is caring for people - the friends, family and neighbors whom we serve in our community.

Creating excellent workplaces for our employees
We are committed to providing an environment based on respect and one which encourages personal and profession growth.

Supporting physicians
We support our physicians' practices by providing an innovative facility, advanced technology, and a well trained, organized clinical staff.

Providing community value
We are a vital resource for our community and because we take pride in our community, we are actively involved in supporting local, civic, and charitable organizations.

Ensuring fiscal responsibility
We are fiscally responsible ensuring that we meet our capital needs and the expectations of our stakeholders.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Current and Valid Wyoming RN License or compact equivalent
2
Current BLS Certification through American Heart Association 
3
ACLS Certification current or within 90 days of hire/transfer
4
2 years OB/LD exeperience 
5
AWHONN Intermediate Fetal Monitoring "
Southern Tennessee Regional Health System-Winchester/Sewanee,"$20,250",Pharmacist,ol13jfbzupkg,Mid-Level,Director of Pharmacy,Less than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Winchester,TN,37398,$ USD,"$100,000.00","$125,000.00",Negotiable,None,Current and valid Tennessee Pharmacy license,"Job Summary
Clinical pharmacist coordinates and provides the pharmaceutical care of patients.  
Manages drug therapy protocols as a part of an interdisciplinary team.
Reviews, interprets and evaluates medication orders to identify, prevent and resolve potential or actual drug related problems.
Provides drug information and education to medical staff, healthcare professionals, and patients, and pharmacy students.
Documents interventions and their outcomes for use in drug therapy quality improvement efforts.
Evaluates medication orders for accuracy and completeness prior to order entry. Checks for accuracy after filling by technicians.
Maintains adequate knowledge of pharmacy automated systems and computer software.

Job Requirements
Minimum Education
Graduate of a Program in Discipline. Bachelor’s degree, BS in Pharmacy required. Graduate of Pharmacy Schools with Pharm.D preferred
Required Skills
Requires critical thinking skills, decisive judgment and the ability to work with minimal supervision. Must be able to work in a stressful environment and take appropriate action.
Required Skills
Certifications:
AHA BLS, preferred
Required Skills
Licenses:
Licensed to practice pharmacy in the State of Tennessee.","Southern Tennessee Regional Health System has an opportunity for you to join our team!

A Joint Commission accredited hospital, Sothern Tennessee Regional Health System serves the patients of south-central Tennessee with two locations (Winchester and Sewanee). 

Situated at the foot of Sewanee Mountain, in southern Middle Tennessee, the city of Winchester offers the best in small-town living while offering quick access to other major cities such as Chattanooga, Nashville, and Huntsville. Winchester has a host of top rated schools, both public and private. Its economy is strong and steadily growing thanks to major employers such as Nissan and Arnold Engineering. Noted as a great place for outdoor recreation, Winchester’s beautiful Tims Ford Lake offers visitors an opportunity for year-round fishing, hiking, and camping. If golfing is more your style, you can enjoy The Bear Trace at Times Ford. This 6,790-yard golf course designed by The Golden Bear, Mr. Jack Nicklaus, has been named as one of the “Top Ten Places You Can Play” by Golf Magazine. And just down the road from Winchester, you’ll find Lynchburg, TN. Home to another favorite tourist destination, the nation’s oldest registered distillery, Jack Daniels. 

Mission, Vision, Core Values, and High Five Guiding Principles

Mission
Making Communities Healthier®

Vision
We want to create places where:
People choose to come for healthcare 
Physicians want to practice 
Employees want to work 

Core Values
Champion Patient Care
Do the Right Thing
Embrace Individuality
Act with Kindness
Make a Difference Together

High Five Guiding Principles
Delivering high quality patient care
Supporting physicians
Creating excellent workplaces for our employees
Taking a leadership role in our communities
Ensuring fiscal responsibility ",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Current and valid Tennessee Pharmacy license
2
Must be prepared to rotate on-call, including weekends
3
Must live within 30-minutes of the hospital to be able to respond to on-call needs when necessary."
SageWest Health Care,"$9,945",Radiological Tech CT/X-RAY,zp9bl0dtkai6,Mid-Level,Director,Less than 30 days,4,Up to 20% of the time,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Lander,WY,82520,$ USD,"$45,240.00","$65,260.00",Yes,Full,Current Radiologic Technologist License in the state of Wyoming ,"At SageWest Healthcare, we recognize that our patients deserve qualified, engaged, and competent nurses. And we know that our nurses deserve a working environment that is safe, leaders who are visible and supportive, and opportunities to grow and develop. We have a positive, hopeful, and resilient leadership team that is solely focused on taking care of the heart of SageWest– the people who work here. If you feel that your skills and compassion fit with our vision for person-centered care and evidence-based practice, and you would like to belong to a hospital family that only the best are invited to join, we invite you to apply today. https://www.sagewesthealthcare.com/careers

Performs all technical, diagnostic and therapeutic services offered by the diagnostic division of the Radiology Services Department. Able to perform C-arm imaging during OR and departmental procedures, and fluoroscopy procedures (BE, GI, GU, etc) according to the radiologist protocol. Has a working knowledge of PACS/RIS. Performs other duties as assigned to ensure the smooth operation of the department and hospital. Prepares the imaging equipment and contrast media, physically prepares the patient for the exam in an appropriate and timely manner, and completes diagnostic imaging.

Licenses, Education, Certifications, and Experience:
Must maintain current Radiologic Technologist license in the state of Wyoming
Registered with American Registry of Radiologic Technologists (ARRT) or if newly registry-eligible with ARRT shall obtain registry within 90 days of hire
Current BLS certification through American Heart Association
Demonstrated ability to perform a broad range of diagnostic radiologic procedures required.","The mission of SageWest Health Care is to make our communities healthier. To achieve this, we are committed to five core values:
  Delivering high-quality patient care
Our highest priority is caring for people - the friends, family, and
neighbors whom we serve in our community.
  Creating excellent workplaces for our employees
We are committed to providing an environment based on respect and one
which encourages personal and profession growth.
  Supporting physicians
We support our physicians' practices by providing an innovative facility,
advanced technology, and a well-trained, organized clinical staff.
  Providing community value
We are a vital resource for our community and because we take pride in
our community, we are actively involved in supporting local, civic, and
charitable organizations.
  Ensuring fiscal responsibility
We are fiscally responsible ensuring that we meet our capital needs and
the expectations of our stakeholders.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Current Radiologic Technologist License in the state of Wyoming 
2
Current BLS Certification through AHA
3
Obtain registry within 90 days of hire "
